stno,stat_name,SLV_m,LON,LAT,CITY,ADD,START,END,NOTE,OLD,NEW,url_nam,url_nam25
466850,五分山雷達站,756.0,121.7812,25.0712,新北市,瑞芳區靜安路四段1巷1號,1988/07/01,　,本站只有雷達觀測資料。,　,　,%E4%BA%94%E5%88%86%E5%B1%B1%E9%9B%B7%E9%81%94%E7%AB%99,%25E4%25BA%2594%25E5%2588%2586%25E5%25B1%25B1%25E9%259B%25B7%25E9%2581%2594%25E7%25AB%2599
466880,板橋,9.7,121.44200000000001,24.9976,新北市,板橋區大觀路二段265巷62號,1972/03/01,　,原為探空站，自2002年開始進行氣象觀測。,　,　,%E6%9D%BF%E6%A9%8B,%25E6%259D%25BF%25E6%25A9%258B
466900,淡水,19.0,121.4489,25.1649,新北市,淡水區中正東路42巷6號,1942/01/01,　,　,　,　,%E6%B7%A1%E6%B0%B4,%25E6%25B7%25A1%25E6%25B0%25B4
466910,鞍部,825.8,121.5297,25.1826,臺北市,北投區陽明山竹子湖路111號,1937/01/01,　,　,　,　,%E9%9E%8D%E9%83%A8,%25E9%259E%258D%25E9%2583%25A8
466920,臺北,6.3,121.5149,25.0377,臺北市,中正區公園路64號,1896/01/01,　,2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m),　,　,%E8%87%BA%E5%8C%97,%25E8%2587%25BA%25E5%258C%2597
466930,竹子湖,607.1,121.5445,25.1621,臺北市,北投區陽明山竹子湖路2號,1937/01/01,　,　,　,　,%E7%AB%B9%E5%AD%90%E6%B9%96,%25E7%25AB%25B9%25E5%25AD%2590%25E6%25B9%2596
466940,基隆,26.7,121.7405,25.1333,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/01/01,　,　,　,　,%E5%9F%BA%E9%9A%86,%25E5%259F%25BA%25E9%259A%2586
466950,彭佳嶼,101.7,122.0797,25.628,基隆市,中正區彭佳嶼,1910/01/01,　,　,　,　,%E5%BD%AD%E4%BD%B3%E5%B6%BC,%25E5%25BD%25AD%25E4%25BD%25B3%25E5%25B6%25BC
466990,花蓮,16.0,121.6133,23.9751,花蓮縣,花蓮市花崗街24號,1910/01/01,　,　,　,　,%E8%8A%B1%E8%93%AE,%25E8%258A%25B1%25E8%2593%25AE
467050,新屋,20.6,121.0475,25.0067,桃園市,新屋區東興路二段946號,2013/07/01,　,座標及高度於2013/10/09更正。,　,　,%E6%96%B0%E5%B1%8B,%25E6%2596%25B0%25E5%25B1%258B
